 April ; Apr 	 april 	 time 
 China ; People's Republic of China ; mainland China ; Communist China ; Red China ; PRC ; Cathay 	 China 	 country 
 Chinese 	 Chinees 	 language 
 Czech Republic 	 Tsjechische Republiek ; Tsjechië 	 country 
 December ; Dec 	 december 	 time 
 Earth ; earth ; world ; globe 	 Aarde 	 nature 
 English ; English language 	 Engels 	 language 
 February ; Feb 	 februari 	 time 
 France ; French Republic 	 Frankrijk 	 country 
 Friday ; Fri 	 vrijdag 	 time 
 German ; High German ; German language 	 Duits 	 linguistics 
 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 Duitsland 	 country 
 Hindi 	 Hindi 	 language 
 India ; Republic of India ; Bharat 	 Republiek India 	 country 
 Italian 	 Italiaans 	 language 
 Italy ; Italian Republic ; Italia 	 Italië 	 country 
 January ; Jan 	 januari 	 time 
 Japan ; Nippon ; Nihon 	 Japan 	 country 
 Japanese 	 Japans 	 language 
 July 	 juli 	 time 
 June 	 juni 	 time 
 Monday ; Mon 	 maandag 	 time 
 Moon ; moon 	 maan 	 nature 
 November ; Nov 	 november 	 time 
 October ; Oct 	 oktober 	 time 
 Russian 	 Russen 	 language 
 Saturday ; Sabbatum ; Sat 	 zaterdag 	 time 
 Spain ; Kingdom of Spain ; Espana 	 Spanje 	 country 
 Sunday ; Lord's Day ; Dominicus ; Sun 	 zondag 	 time 
 Thursday ; Th 	 donderdag 	 time 
 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 Brittannië 	 country 
 United States ; United States of America ; America ; the States ; US ; U.S. ; USA ; U.S.A. 	 Verenigde Staten van America ; USA 	 country 
 Wednesday ; Midweek ; Wed 	 woensdag 	 time 
 ability ; power 	 vermogen 	 abstract 
 able 	 capabel 	 adjective 
 about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh 	 bijna 	 adverb 
 about ; around 	 om 	 adverb 
 above ; higher up ; in a higher place ; to a higher place 	 boven 	 adverb 
 abrupt ; precipitous ; sharp 	 steil 	 adjective 
 accept ; take ; have 	 aanvaarden 	 verb 
 accident 	 ongeluk ; ongeval 	 transport 
 account ; business relationship 	 rekening 	 business 
 achieve ; accomplish ; attain ; reach 	 bereiken 	 verb 
 acid 	 zuur 	 adjective 
 acid 	 zuur 	 material 
 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 toppunt 	 abstract 
 act ; deed ; human action ; human activity 	 daad 	 abstract 
 act ; move 	 handelen 	 verb 
 action 	 actie 	 mathematics 
 action 	 handeling ; actie 	 mathematics 
 action ; activity ; activeness 	 bezigheid 	 mathematics 
 actor ; histrion ; player ; thespian ; role player 	 acteur 	 profession 
 actress 	 actrice 	 profession 
 actually ; really 	 echt 	 adverb 
 acuate ; acute ; sharp ; needlelike 	 scherp 	 adjective 
 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 bericht ; advertentie ; commercial 	 business 
 add 	 bijvoegen 	 verb 
 add ; add together 	 optellen 	 verb 
 addition ; add-on ; improver 	 toevoeging 	 abstract 
 address 	 adresseren ; handigheid 	 abstract 
 adept ; expert ; good ; practiced ; proficient ; skillful ; skilful 	 deskundig 	 adjective 
 adjacent ; next ; side by side 	 aangrenzend 	 adjective 
 adjective 	 adjectief 	 linguistics 
 admit ; acknowledge 	 erkennen 	 verb 
 advantage ; reward 	 voordeel 	 abstract 
 advantage ; vantage 	 voordeel 	 abstract 
 advice 	 raad ; advies 	 communication 
 affect ; impact ; bear upon ; bear on ; touch on ; touch 	 invloed hebben op 	 verb 
 after 	 aan 	 adjective 
 afternoon 	 middag ; namiddag 	 time 
 again ; once again ; once more ; over again 	 opnieuw ; nogmaals ; weer ; wederom 	 adverb 
 against 	 tegen 	 preposition 
 age 	 ouderdom ; verouderen ; leeftijd 	 time 
 ago ; agone 	 geleden 	 adjective 
 agree ; hold ; concur ; concord 	 afspreken ; overeenstemmen ; het eens zijn ; toestemmen 	 verb 
 agreement ; understanding 	 overeenstemming 	 business 
 aid ; assist ; assistance ; help 	 hulp 	 communication 
 air 	 lucht 	 nature 
 airplane ; aeroplane ; plane 	 vliegtuig 	 object 
 airport ; airdrome ; aerodrome ; drome 	 luchthaven ; vliegveld 	 city 
 alive ; live 	 levend ; levende 	 adjective 
 all 	 al ; alle 	 adjective 
 alone ; lone ; lonely ; solitary 	 eenzaam 	 adjective 
 along 	 langs 	 adverb 
 already 	 al ; reeds 	 adverb 
 alternatively ; instead ; or else 	 in 	 adverb 
 altitude ; height 	 hoogte 	 abstract 
 always ; ever ; e'er 	 altijd 	 adverb 
 among ; amongst ; amid ; amidst 	 tussen 	 preposition 
 amount 	 bedrag ; hoeveelheid ; saldo 	 abstract 
 and 	 en 	 conjunction 
 angle 	 hoek 	 mathematics 
 angry 	 boos 	 adjective 
 animal ; animate being ; beast ; brute ; creature ; fauna 	 dier ; beest 	 nature 
 announce ; denote 	 aankondigen 	 verb 
 announcement ; proclamation ; annunciation ; declaration 	 verkondiging 	 communication 
 another ; some other 	 ander 	 adjective 
 answer ; reply ; respond 	 antwoorden 	 verb 
 answer ; reply ; response 	 antwoord 	 communication 
 ant ; emmet ; pismire 	 mier 	 animal 
 anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule 	 hal 	 house 
 any ; whatever ; whatsoever 	 een 	 adjective 
 anyone 	 iedereen 	 pronoun 
 apartment ; flat 	 flat 	 society 
 apparel ; wearing apparel ; dress ; clothes 	 jurk 	 clothes 
 apple 	 appel 	 food 
 approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so 	 ongeveer 	 adverb 
 area ; expanse ; surface area 	 oppervlakte 	 mathematics 
 argent ; silver ; silvery ; silverish 	 zilveren 	 adjective 
 argue ; contend ; debate ; fence 	 redetwisten 	 verb 
 argue ; reason 	 betogen 	 verb 
 argument ; statement 	 argument 	 communication 
 arm 	 arm 	 anatomy 
 army ; regular army ; ground forces 	 leger 	 society 
 arrangement ; organization ; organisation ; system 	 organisatie 	 society 
 arrive ; make it ; get in ; go far 	 aankomen 	 verb 
 art ; fine art 	 kunst 	 art 
 artist ; creative person 	 artiest 	 profession 
 ask ; inquire ; enquire 	 vragen 	 verb 
 aspect 	 aspect 	 abstract 
 assail ; assault ; set on ; attack 	 tackelen 	 verb 
 astute ; sharp ; shrewd 	 scherpzinnig 	 adjective 
 at 	 naar 	 preposition 
 attack ; onslaught ; onset ; onrush 	 aanvallen 	 abstract 
 attempt ; effort ; endeavor ; endeavour ; try 	 poging 	 abstract 
 attention ; attending 	 attentie 	 communication 
 attitude ; mental attitude 	 attitude 	 abstract 
 audio ; sound 	 audio- ; geluids- 	 abstract 
 aureate ; gilded ; gilt ; gold ; golden 	 goudkleurig ; gouden 	 color 
 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 autoriteit 	 society 
 automatic 	 automatisch 	 adjective 
 available 	 beschikbaar 	 adjective 
 avoid 	 vermijden 	 verb 
 awake 	 wakker 	 adjective 
 award ; accolade ; honor ; honour ; laurels 	 onderscheiding 	 society 
 baby ; babe ; infant 	 baby 	 family 
 back 	 achterkant 	 clothes 
 back ; dorsum 	 rug 	 anatomy 
 bad 	 slecht 	 adjective 
 bag 	 zak ; tas 	 object 
 bag ; handbag ; pocketbook ; purse 	 handtas 	 clothes 
 bag ; traveling bag ; travelling bag ; grip ; suitcase 	 valies 	 clothes 
 balance 	 evenwicht ; balans 	 physics 
 ball 	 bal 	 object 
 bang-up ; bully ; corking ; cracking ; dandy ; great ; groovy ; keen ; neat ; nifty ; not bad ; peachy ; slap-up ; swell ; smashing 	 mieters 	 adjective 
 bank 	 oever 	 nature 
 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 barbaars 	 adjective 
 bargain ; deal 	 overeenkomst 	 business 
 base ; base of operations 	 baseren ; basis ; kazerne 	 society 
 baseball ; baseball game 	 honkbal 	 sports 
 basic 	 basis- 	 adjective 
 basket ; handbasket 	 basket ; mand ; korf 	 object 
 bath 	 badkamer 	 house 
 bathroom ; bath 	 badkamer 	 house 
 be 	 wezen 	 verb 
 be ; live 	 leven 	 verb 
 beach 	 strand 	 nature 
 beak ; bill ; neb ; nib ; pecker 	 bek ; snavel 	 anatomy 
 bear 	 beer ; berin 	 animal 
 bear 	 dragen ; torsen 	 verb 
 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 overwinnen 	 verb 
 beautiful 	 mooi 	 adjective 
 because 	 omdat ; doordat 	 conjunction 
 become ; go ; get 	 worden 	 verb 
 bed 	 bed 	 house 
 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 slaapkamer 	 house 
 bee 	 bij ; honingbij 	 animal 
 beer 	 bier 	 food 
 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 begin 	 abstract 
 beginning ; origin ; root ; rootage ; source 	 oorsprong ; bron 	 transport 
 behind 	 na 	 adverb 
 being ; beingness ; existence 	 bestaan 	 society 
 believe 	 geloven 	 verb 
 bell 	 klok ; bel 	 object 
 beloved ; dear ; dearest ; honey ; love 	 lief 	 relations 
 bend ; curve 	 bocht 	 transport 
 benefit ; do good 	 ten goede komen aan 	 verb 
 besides ; too ; also ; likewise ; as well 	 ook ; eveneens 	 adverb 
 bespeak ; betoken ; indicate ; point ; signal 	 aanwijzen 	 verb 
 best 	 best 	 adjective 
 better 	 beter 	 adjective 
 better ; improve ; amend ; ameliorate ; meliorate 	 verbeteren 	 verb 
 beverage ; drink ; drinkable ; potable 	 drankje 	 food 
 beyond 	 overheen 	 adverb 
 bicycle ; bike ; wheel ; cycle 	 fiets ; velo (only in Belgium) 	 object 
 bill ; account ; invoice 	 rekening 	 business 
 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 bankbiljet 	 business 
 biology ; biological science 	 biologie 	 science 
 bird 	 vogel 	 animal 
 birth ; nativity ; nascency ; nascence 	 geboorte 	 nature 
 birthday 	 verjaardag 	 family 
 bit ; chip ; flake ; fleck ; scrap 	 Stuk 	 object 
 bite 	 Hap 	 medicine 
 bite ; seize with teeth 	 bijten 	 verb 
 bitter 	 bitter 	 adjective 
 black 	 zwart 	 adjective 
 blade 	 lemmet 	 object 
 blessing ; approval ; approving 	 instemming ; goedkeuring 	 communication 
 blood 	 bloed 	 anatomy 
 blow 	 slag 	 abstract 
 blue ; bluish ; blueish 	 blauw 	 color 
 blueprint ; design ; pattern 	 model 	 object 
 boat 	 boot ; schip 	 object 
 bone ; os 	 bot 	 anatomy 
 book ; volume 	 boek 	 object 
 boot 	 laars ; hoge schoen 	 clothes 
 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 vervelend 	 adjective 
 both 	 beide ; allebei ; alle twee 	 adjective 
 bottle 	 fles 	 food 
 box 	 doos 	 object 
 boyfriend ; fellow ; beau ; swain ; young man 	 vriend ; lief 	 family 
 brain ; encephalon 	 hersenen ; hersens ; brein 	 anatomy 
 branch 	 tak 	 nature 
 brand ; make 	 merk 	 abstract 
 bread ; breadstuff ; staff of life 	 brood 	 food 
 break 	 breken 	 verb 
 breakfast 	 ontbijt 	 food 
 breast ; chest 	 borst 	 anatomy 
 breath 	 adem 	 anatomy 
 brick 	 baksteen 	 house 
 bridge ; span 	 brug ; bridge 	 object 
 bright ; brilliant ; vivid 	 helder 	 adjective 
 bring ; convey ; take 	 halen 	 verb 
 broken 	 gebroken 	 adjective 
 brother ; blood brother 	 broer ; broeder 	 family 
 brow ; forehead 	 voorhoofd 	 anatomy 
 brown ; brownish ; chocolate-brown ; dark-brown 	 bruin 	 color 
 brush 	 borstel 	 object 
 brusque ; brusk ; curt ; short 	 bruusk 	 adjective 
 building ; edifice 	 gebouw ; constructie 	 city 
 bulk ; mass ; volume 	 massa 	 physics 
 burn ; fire ; burn down 	 afbranden 	 verb 
 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 autobus 	 transport 
 businessman ; man of affairs 	 zakenman 	 profession 
 businesswoman 	 zakenvrouw 	 business 
 butter 	 boter 	 food 
 buy ; purchase 	 verwerven 	 verb 
 by ; past 	 langs 	 adverb 
 cake 	 cake 	 food 
 calculator ; reckoner ; figurer ; estimator ; computer 	 calculator ; rekenmachine 	 device 
 calendar month ; month 	 maand 	 time 
 call ; phone call ; telephone call 	 oproep 	 communication 
 call ; telephone ; call up ; phone ; ring 	 roepen ; schreeuwen ; opbellen ; bezoeken ; noemen ; telefoneren 	 verb 
 camera ; photographic camera 	 fotoapparaat ; fotocamera 	 object 
 campaign ; cause ; crusade ; drive ; movement ; effort 	 campagne 	 abstract 
 can ; tin ; tin can 	 blik 	 object 
 capital 	 hoofdstad 	 society 
 capital ; capital letter ; uppercase ; upper-case letter ; majuscule 	 hoofdletter 	 linguistics 
 capital ; working capital 	 hoofdstad 	 business 
 car ; auto ; automobile ; machine ; motorcar 	 auto ; wagen ; automobiel 	 transport 
 carbohydrate ; saccharide ; sugar 	 koolhydraat 	 food 
 card 	 kaart 	 object 
 cardinal ; central ; fundamental ; key ; primal 	 fundamenteel ; 	 adjective 
 care ; attention ; aid ; tending 	 zorg 	 abstract 
 case ; instance ; example 	 casus 	 abstract 
 castle 	 kasteel ; fort ; burcht ; 	 city 
 cat ; true cat 	 kat ; poes 	 animal 
 catch ; grab ; take hold of 	 opvangen 	 verb 
 cause 	 teweegbrengen ; reden ; aanleiding ; oorzaak 	 abstract 
 cell 	 cel 	 anatomy 
 cell ; jail cell ; prison cell 	 cel 	 society 
 cellular telephone ; cellular phone ; cellphone ; cell ; mobile phone 	 Mobiel ; Mobiel 	 device 
 center ; centre ; middle ; heart ; eye 	 centrum 	 mathematics 
 center ; centre ; midpoint 	 middelpunt 	 mathematics 
 central 	 centraal 	 adjective 
 central ; telephone exchange ; exchange 	 centraal 	 society 
 century 	 eeuw 	 time 
 certain ; sure 	 zeker 	 adjective 
 chain 	 ketting 	 object 
 chair 	 stoel ; zetel 	 house 
 championship ; title 	 kampioenschap 	 sports 
 change 	 wisselgeld 	 business 
 change ; alter ; modify 	 veranderen ; aanpassen 	 verb 
 change ; alteration ; modification 	 verandering ; aanpassing 	 abstract 
 character ; grapheme ; graphic symbol 	 teken 	 linguistics 
 charge ; accuse 	 beschuldigen 	 verb 
 charge ; bill 	 berekenen 	 verb 
 charge ; complaint 	 aanklacht 	 society 
 charge ; electric charge 	 lading 	 nature 
 cheap ; inexpensive 	 goedkoop ; goedkope 	 adjective 
 check ; bank check ; cheque 	 cheque 	 business 
 cheese 	 kaas 	 food 
 chemical ; chemic 	 chemisch 	 adjective 
 chemical ; chemical substance 	 chemicaliën ; chemicali�n 	 material 
 chemical element ; element 	 element 	 material 
 chemistry ; chemical science 	 apotheek ; scheikunde ; chemie 	 science 
 chest 	 kist 	 object 
 chief ; main ; primary ; principal ; master 	 hoofdzakelijk ; hoofdzakelijke ; belangrijkst ; belangrijkste 	 adjective 
 child ; kid 	 kind 	 nature 
 child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling 	 jongetje 	 family 
 chin ; mentum 	 kin 	 anatomy 
 chocolate 	 Chocola ; chocolade 	 food 
 choice ; selection ; option ; pick 	 keuze 	 abstract 
 choose ; take ; select ; pick out 	 kiezen 	 verb 
 church ; church building 	 kerk 	 city 
 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 bioscoop 	 city 
 circle 	 cirkel 	 mathematics 
 city ; metropolis ; urban center 	 stad 	 society 
 claim 	 aanspraak 	 society 
 clandestine ; cloak-and-dagger ; hole-and-corner ; hugger-mugger ; hush-hush ; secret ; surreptitious ; undercover ; underground 	 geheim 	 adjective 
 class ; form ; grade ; course 	 klas 	 art 
 classify ; class ; sort ; assort ; sort out ; separate 	 classificeren 	 verb 
 clean 	 schoon 	 adjective 
 clean ; make clean 	 schoonmaken 	 verb 
 clear 	 duidelijk 	 adjective 
 clock 	 klok 	 device 
 close ; shut 	 sluiten ; dichtklappen 	 verb 
 clothing ; article of clothing ; vesture ; wear ; wearable ; habiliment 	 kledingstuk 	 clothes 
 cloud 	 wolk 	 nature 
 club 	 knuppel 	 object 
 club ; social club ; society ; guild ; gild ; lodge ; order 	 club 	 society 
 coal 	 kool ; steenkool 	 material 
 coat 	 mantel ; jas 	 clothes 
 coffee ; java 	 koffie 	 food 
 cognition ; knowledge ; noesis 	 kennis ; weten 	 education 
 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 tros 	 object 
 cold 	 koud 	 adjective 
 cold ; common cold 	 koud ; verkoudheid 	 medicine 
 coldness ; cold ; low temperature ; frigidity ; frigidness 	 koude 	 nature 
 collar ; neckband 	 kraag ; boord ; halsboord 	 clothes 
 color ; colour 	 kleur 	 adjective 
 color ; colour ; coloring ; colouring 	 kleur 	 art 
 coloring material ; colouring material ; color ; colour 	 Kleur 	 art 
 come ; come up 	 komen 	 verb 
 committee ; commission 	 comit� 	 society 
 common 	 gewoon 	 adjective 
 common ; mutual 	 gemeen ; overeenkomst 	 adjective 
 common ; usual 	 gewoon 	 adjective 
 community 	 gemeenschap 	 society 
 company 	 firma 	 business 
 company ; companionship ; fellowship ; society 	 gezelschap 	 society 
 compare 	 vergelijken 	 verb 
 comparison ; comparing 	 vergelijking 	 abstract 
 competition 	 concurrentie 	 business 
 complete ; consummate 	 volledig ; compleet ; allesomvattend 	 adjective 
 complete ; finish 	 afwerken ; beëindigen ; voltooien ; be�indigen 	 verb 
 complimentary ; costless ; free ; gratis ; gratuitous 	 gratis 	 adjective 
 component ; constituent ; element ; factor ; ingredient 	 element 	 mathematics 
 computer ; computing machine ; computing device ; data processor ; electronic computer ; information processing system 	 computer 	 device 
 concert 	 concert 	 art 
 concluding ; final ; last ; terminal 	 finaal 	 adjective 
 condition ; status 	 status 	 abstract 
 confront ; face up ; face 	 trotseren 	 verb 
 connection ; connexion ; connectedness 	 verbinding 	 abstract 
 conscious ; witting 	 welbewust 	 adjective 
 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 gevolg 	 medicine 
 construct ; build ; make 	 bouwen 	 verb 
 contend ; fight ; struggle 	 vechten 	 verb 
 contest ; competition 	 strijd 	 society 
 continue ; go on ; proceed ; go along ; keep 	 voortzetten 	 verb 
 contract 	 contract 	 business 
 control 	 controle 	 abstract 
 control ; command 	 beheersen ; beheren 	 verb 
 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 ruzie 	 mathematics 
 cook 	 kok ; kokkin 	 profession 
 cook 	 koken 	 verb 
 copy 	 kopie 	 object 
 copy ; re-create 	 kopiëren ; kopi�ren 	 verb 
 correct ; right 	 correct ; juist 	 adjective 
 cost 	 kosten 	 society 
 cotton 	 katoen 	 material 
 cotton ; cotton fiber ; cotton wool 	 katoen ; katoenplant 	 material 
 cough 	 hoesten 	 verb 
 cough ; coughing 	 hoest 	 medicine 
 council 	 raadgevend lichaam 	 society 
 country ; state ; land 	 land 	 society 
 couple ; pair ; twosome ; twain ; brace ; span ; yoke ; couplet ; distich ; duo ; duet ; dyad ; duad 	 paar 	 number 
 course ; course of study ; course of instruction ; class 	 gang 	 education 
 court ; courtroom 	 rechtszaal 	 society 
 court ; tribunal ; judicature 	 gerechtshof 	 society 
 cow ; moo-cow 	 koe 	 animal 
 crack ; cleft ; crevice ; fissure ; scissure 	 barst 	 abstract 
 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 misdaad 	 society 
 crude ; rough 	 grof 	 adjective 
 crush 	 verpletteren 	 verb 
 cry ; outcry ; call ; yell ; shout ; vociferation 	 roep 	 communication 
 cry ; weep 	 huilen 	 verb 
 culture ; civilization ; civilisation 	 cultuur 	 society 
 cup 	 kop 	 food 
 cup ; loving cup 	 beker 	 object 
 cupboard ; closet 	 kast ; wandkast 	 house 
 current 	 tegenwoordig 	 adjective 
 current ; electric current 	 elektrische stroom 	 nature 
 current ; stream 	 actueel 	 nature 
 curtain ; drape ; drapery ; mantle ; pall 	 gordijn 	 house 
 curvature ; curve 	 kromming 	 mathematics 
 curve ; curved shape 	 curve 	 art 
 customer ; client 	 klant 	 business 
 cut 	 snijden ; afsnijden ; knippen 	 verb 
 cut ; cutting 	 snee 	 abstract 
 dainty ; nice ; overnice ; prissy ; squeamish 	 teer 	 adjective 
 damage 	 beschadigen 	 verb 
 damage ; harm ; impairment 	 schade 	 transport 
 dance ; trip the light fantastic ; trip the light fantastic toe 	 dansen 	 verb 
 dance band ; band ; dance orchestra 	 kapel 	 art 
 danger 	 gevaar 	 abstract 
 dangerous ; unsafe 	 gevaarlijk ; gevaarlijke 	 adjective 
 dark 	 donker 	 adjective 
 data ; information 	 gegevens 	 communication 
 date ; appointment ; engagement 	 afspraak 	 relations 
 date ; day of the month 	 datum 	 time 
 daughter ; girl 	 dochter 	 family 
 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 dag 	 nature 
 daze ; shock ; stupor 	 schok 	 abstract 
 dead 	 dode 	 society 
 dead 	 dood ; dode ; overleden ; gestorven 	 adjective 
 death 	 dood 	 nature 
 death ; decease ; expiry 	 dood 	 abstract 
 decide ; make up one's mind ; determine 	 beslissen 	 verb 
 decision ; determination ; conclusion 	 beslissing ; besluit 	 communication 
 decoration ; ornament ; ornamentation 	 decoratie 	 object 
 deep 	 diep 	 adjective 
 defense ; defence ; defense force ; defence force 	 weer 	 abstract 
 degree 	 graad 	 linguistics 
 degree ; grade ; level 	 niveau ; graad 	 linguistics 
 delicate 	 fijn 	 adjective 
 delicate ; fragile ; frail 	 broos 	 adjective 
 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 gedrag ; gedragingen 	 abstract 
 democracy ; republic ; commonwealth 	 republiek ; democratie 	 society 
 department ; section 	 departement 	 society 
